university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
University of Sydney,2014,95,Australia,1,127,61,100,51.58,0,64.1,47.4,84.8,55.4,41868,20.2
Tokyo Institute of Technology,2014,96,Japan,8,208,87,44,51.53,0,38.4,52.4,32.1,51.4,9586,7.3
University of Zurich,2015,96,Switzerland,4,115,68,137,51.14,24,51.6,40.2,86.9,33.1,26583,6.5
Arizona State University,2015,97,USA,55,367,76,21,51.13,20,42.6,35.7,29.5,37.5,83236,29.9
University of Nottingham,2012,97,United Kingdom,6,101,101,92,43.79,20.6,45.8,40.2,72.6,40,30144,15
University of Bonn,2014,98,Germany,3,23,187,227,51.37,19.8,40.5,35.8,54.2,20.4,32474,70.4
University of Bristol,2012,98,United Kingdom,7,101,86,101,43.77,16.8,45.3,44.2,73.7,47.7,17906,14
University of Helsinki,2013,98,Finland,1,69,71,101,44.39,16.4,51.1,42.8,48.3,53,23505,15.1
Yonsei University,2015,98,South Korea,2,367,321,23,51.02,0,52.1,44.5,35.7,45.8,24774,11.6
University of Oslo,2015,99,Norway,1,53,101,302,50.81,32.6,49.1,36.1,60.3,35.2,27139,18.8
Utrecht University,2012,99,Netherlands,2,100,60,101,43.47,20.6,47.3,42.8,58.1,53.2,30779,15.4
Kyushu University,2015,100,Japan,7,367,264,37,50.6,0,44.2,36.5,26.1,28.5,18925,6.7
Case Western Reserve University,2014,102,USA,54,44,60,100,51.27,10.9,39,51,35.4,38.6,9259,6.4
University of Alberta,2014,103,Canada,4,163,81,84,51.23,0,55.5,44.6,70.1,47.8,36299,21.6
Case Western Reserve University,2015,105,USA,57,50,59,111,50.28,10.9,39.7,46.5,34.4,37.4,9259,6.4
Arizona State University,2014,106,USA,57,355,69,34,51.14,20,42.5,33.8,28.6,35.9,83236,29.9
University of Alberta,2015,107,Canada,4,169,82,116,50.25,0,54.2,43.8,73.4,47.1,36299,21.6
Yonsei University,2014,107,South Korea,2,355,250,15,50.95,0,51.1,44.5,35,47,24774,11.6
Leiden University,2015,108,Netherlands,3,120,53,260,50.17,9.4,46.9,45,59.5,58.2,21222,17.1
Rice University,2014,108,USA,58,54,45,61,50.94,21.7,30,44.1,67.7,35.5,6333,9
Tokyo Institute of Technology,2015,109,Japan,8,170,136,52,50.13,0,37.8,53.5,37,52.9,9586,7.3
University of Groningen,2015,110,Netherlands,4,313,68,316,50.1,18.8,52.6,36.9,56.1,50.8,24556,25.6
University of Helsinki,2014,110,Finland,1,53,99,481,50.76,16.3,52.3,35.5,51.3,46.5,23505,15.1
University of Helsinki,2015,111,Finland,1,56,88,420,50.04,16.3,51.8,37.5,49.7,48.1,23505,15.1
University of Oslo,2014,111,Norway,1,139,130,373,50.7,32.6,50,32.4,70.3,33,27139,18.8
Michigan State University,2014,112,USA,59,112,45,128,50.69,0,50.5,50,52.6,49.1,44750,15.7
Sapienza University of Rome,2015,112,Italy,1,67,212,312,49.97,13.3,52,32.3,37.5,28.1,120986,32.3
Georgetown University,2015,113,USA,59,159,321,122,49.92,0,31.7,51.1,43.3,28.2,15408,8.5
University of Amsterdam,2015,114,Netherlands,5,109,93,282,49.83,0,53.3,42,60.5,55.4,24570,14.4
University of the Witwatersrand,2014,114,South Africa,1,79,310,259,50.4,0,31.9,22.4,68.2,29.3,23321,18.6
Korea University,2015,115,South Korea,3,367,321,26,49.79,0,50.7,48.9,35.9,44.3,24043,15.8
Lund University,2014,116,Sweden,3,132,48,737,50.34,0,50.4,30.1,67.4,48.6,28251,11.5
University of Barcelona,2015,116,Spain,1,367,93,215,49.79,0,51.6,28.4,47.8,28.8,47491,12.2
Leiden University,2014,117,Netherlands,3,107,114,227,50.29,9.4,48.4,41.9,58.5,53.2,21222,17.1
Lund University,2015,117,Sweden,2,136,53,871,49.75,0,49.7,32.6,70.1,48.5,28251,11.5
Georgetown University,2014,118,USA,61,146,310,159,50.28,0,31.9,51.9,43.6,25.6,15408,8.5
Michigan State University,2015,118,USA,60,112,65,136,49.74,0,50.6,51.1,55,49.4,44750,15.7
Aarhus University,2014,119,Denmark,2,292,81,194,50.17,22.1,51.9,30.7,67.2,46.4,23895,13.6
Ghent University,2015,119,Belgium,2,123,68,90,49.73,13.3,57.5,42.5,49.1,51.6,32166,34.1
Rice University,2015,120,USA,61,52,59,76,49.73,21.7,29.2,41.7,70.8,37.1,6333,9
University of Barcelona,2014,120,Spain,1,355,81,259,50.17,0,51.8,24.5,45,24.7,47491,12.2
Aarhus University,2015,122,Denmark,2,310,101,154,49.65,22.1,51.8,30.9,66.3,47.5,23895,13.6
University of Amsterdam,2014,122,Netherlands,4,182,87,338,49.97,0,53.7,38.3,58.3,54.1,24570,14.4
